"created_time","message","id"
"2019-06-09T22:32:51+0000","I kept thinking she looked like she could be  Jojo Siwa in the future or her older sister, but overall that is an awesome way to make ice cream!","2729925240593441_1006070419597191"
"2019-06-09T18:25:22+0000","This was really neat also super nice woman doing this peice.","2729925240593441_2358903694131866"
"2019-06-10T02:04:15+0000","I really love this little searies!!!! Please keep it going!","2729925240593441_2092142504217348"
"2019-06-09T18:19:57+0000","Love ur show can’t wait for next","2729925240593441_339197046768652"
"2019-06-09T20:00:44+0000","Benjie Kao check this out. Very informative and entertaining. She “smelled grandma coming from a mile away”. 🤣🤣🤣🤣","2729925240593441_2404822076204778"
"2019-06-10T07:32:44+0000","Suhail Ijaz and Shakil Ijaz Choudhary Shehla Shahzad Ashfa Idrees Afshan Zafar Sumbul Bilal once upon a time we were  visiting sahiwal together and jugnu shakil bhai made the ice cream by this method .and that treat was so yummy","2729925240593441_314736249474224"
"2019-06-10T00:39:15+0000","I think this is my new favorite from tasty 💖","2729925240593441_2247632848686281"
"2019-06-09T21:29:45+0000","Actually, I'm from Syria and this is the first time I know that Booza is originally from Syria 😍
We still make Booza the old way in the old streets of Damascus 💙❤️","2729925240593441_2385910101689603"
"2019-06-09T18:13:21+0000","I start to really look forward to these episodes every week.. I think you're doing something right 😊","2729925240593441_2332964516946861"
"2019-06-10T00:03:20+0000","This young lady was a hoot!! That “bat” was so big and she is such a tiny person. I give her high marks. 
Could you substitute almonds for pistachios? I’m allergic to pistachios, pecans and walnuts.","2729925240593441_344471456239449"
"2019-06-09T21:54:50+0000","I cannot get enough of these Edible History episodes. I almost wish they were longer. Please keep making them forever !!!😂 Hannah is so awesome to watch too she's funny and she always does such a good job. Plus she tells us exactly how the food tastes without holding back on her opinion!","2729925240593441_145355506631424"
"2019-06-10T13:53:07+0000","""You can smell that grandma a mile away"" lol, I totally smelled that perfume.🤣🤣🤣👍👍😂👏👏","2729925240593441_140836527066973"
"2019-06-10T00:30:10+0000","Hannah is great.  She and Alvin are my 2 fave Tasty presenters ♥","2729925240593441_1217223428481852"
"2019-06-10T06:32:45+0000","Loved this! Snaps to the experts at the pastry shop!!","2729925240593441_841988176177497"
"2019-06-11T13:46:55+0000","Gahd i love this show","2729925240593441_1055919307935464"
"2019-06-10T21:39:32+0000","I think you should have like a legit show.... so entertaining and beautiful ... made me laugh and kept me interested all the way through.","2729925240593441_112243899855801"
"2019-06-10T00:22:23+0000","this is common in Turkey 🇹🇷, the best ice cream I’ve ever had","2729925240593441_160677698307655"
"2019-06-09T18:37:39+0000","Looks very hard to make  it, but must be so delicious xoxox","2729925240593441_356972491510365"
"2019-06-10T04:58:06+0000","Love these episodes!!!!!!! So much fun to learn food-history and see her make it :-)","2729925240593441_451591212307714"
"2019-06-09T19:01:09+0000","I’ve seen videos of that sticky ice cream but never knew what it was called. Thanks for making the video.","2729925240593441_134735364380937"
"2019-06-10T19:05:11+0000","I still remember your homemade coconut ice cream...divine","2729925240593441_148641789627899"
"2019-06-10T01:58:40+0000","So cool! I actually enjoyed watching this.","2729925240593441_467277000749092"
"2019-06-09T18:08:28+0000","I am obsessed with her. So fun to watch!","2729925240593441_2332962316947081"
"2019-06-09T19:08:59+0000","Your have a wonderful family","2729925240593441_316227109312032"
"2019-06-10T01:51:34+0000","This is my kind of cooking show.. ♥️♥️♥️♥️👋👋👋👋👋","2729925240593441_333348457560267"
"2019-06-10T14:36:42+0000","Omomomomo this is so cooooool 🤩🤩 I would love to try it 🤤🤤","2729925240593441_395986877671889"
"2019-06-21T02:21:40+0000","This entire production is amazing and hilarious!!","2729925240593441_308026696810800"
"2019-06-10T05:29:23+0000","Wow, really interesting, thank you!","2729925240593441_141250076940302"
"2019-06-09T22:47:20+0000","Who thinks up of this stuff???Amazing & thought provoking. Wish we had it in this country.","2729925240593441_177837926553404"
"2019-06-09T18:21:26+0000","Rose water smells so nice like rose itself and she's making an expression as if she smelled something so bad. 😆😂","2729925240593441_1166155653554473"
"2019-06-10T05:30:51+0000","Love the shows Tasty is coming out with.","2729925240593441_2085051551795005"
"2019-06-09T18:27:36+0000","Cookies and Creme please....","2729925240593441_100833277838172"
"2019-06-10T05:31:37+0000","Ashleigh Loades Have a look at some of the other recipes she's done. Feel like you and I are the only people I know that would appreciate these videos 😂😋","2729925240593441_172206807119432"
"2019-06-09T23:46:15+0000","New favorite tasty chef/producer ❤","2729925240593441_2417705974957617"
"2019-06-10T03:33:08+0000","Very interesting the way it conveyed & especially the BGM. Loved it.","2729925240593441_332205014116540"
"2019-06-10T03:12:50+0000","Meliah Gabrielle this would be a great SS/ELA/Science/Writing activity....cross-curricular... The kids would love it!","2729925240593441_100820591174193"
"2019-06-09T21:36:09+0000","She’s probably the most entertaining chef personality I’ve seen in a long time!! Watch out Food Network. So fun.","2729925240593441_117967279447805"
"2019-06-10T04:53:06+0000","Very nice presentation. Thanks Hannah and Tasty","2729925240593441_150702052761437"
"2019-07-02T01:35:42+0000","When are you making more videos???  We miss you!  My daughter and I love watching you!","2729925240593441_539829746550775"
"2019-06-10T16:10:53+0000","This was a very fun and enjoyable video to watch!","2729925240593441_451801052301828"
"2019-06-09T19:23:14+0000","Asleeuv Vwj Lucy M Vue Mayly Xiong Mainag Xiong Baonyia Nova Tiffany Lee I think I have a crush on her and this icecream 😅 and I'm striaght or am I....lol🤔🤷‍♀️ 

Never seen icecream soooooo good 🥰","2729925240593441_679402615850907"
"2019-06-09T22:01:46+0000","That looks kind of gross, like a string of pulmonary mucous.","2729925240593441_369643927237948"
"2019-06-09T18:13:32+0000","How much time took the whole process?","2729925240593441_440916753362911"
"2019-06-09T22:12:50+0000","Interesting and fun!!! Learn something new everyday! 🤩","2729925240593441_392344578158442"
"2019-06-09T20:20:22+0000","Came for Hannah, stayed for booza 😋.  Autocorrect wants to stay for the booze 😂","2729925240593441_2404848212868831"
"2019-06-09T18:42:04+0000","Isabella are you this committed to ice cream?  
PS we need to try this. You thinking of the flavour I'm think of?","2729925240593441_141019510313336"
"2019-06-11T03:19:22+0000","Alton Brown need this to be a show! Food history and tasting lab! I would watch the HELL out of that! Just sayin’...","2729925240593441_394745871129827"
"2019-06-09T21:31:26+0000","Wondefully presented keep the good work 😋","2729925240593441_117796619453624"
"2019-06-09T20:02:03+0000","I actually impressed by the videos from tasty. Entertaining and imformative","2729925240593441_399819680625193"
"2019-06-11T12:34:35+0000","Ma shaa Allah even the ice cream originally from the middle east... Awesome!!!","2729925240593441_175381316789964"
"2019-06-09T18:56:49+0000","Holy crap I knew I recognized her!! I used to watch drunk kitchen all the time!! I was waiting for a booze-a joke and she did not disappoint! 😂","2729925240593441_302825230622654"
"2019-06-10T00:34:53+0000","I love these episodes. Hannah is so funny but not like in an overly forceful/cringy way. She's a natural.","2729925240593441_1336992449793884"
"2019-06-09T23:06:52+0000","In Arequipa, Peru, the Frozen Cheese (Queso Helado) is made in a similar way from very very long time ago.","2729925240593441_116215396294977"
"2019-06-10T05:58:37+0000","New favorite, I look forward to these every Sunday.","2729925240593441_610982289381876"
"2019-06-10T01:51:34+0000","The 1st time I ate it in Syria I forgot about all the icecream I ate before...... it is also called Bigdash

Alaa Imad that's what I told you about","2729925240593441_2162897607142113"
"2019-06-10T12:50:51+0000","Love this episode Hannah","2729925240593441_1299236353564968"
"2019-06-10T17:58:43+0000","I would love to taste and see it first hand looks interesting, WOW","2729925240593441_2386433958300656"
"2019-06-09T18:47:56+0000","Nieve de garrafa, very common in Mexico","2729925240593441_170905873934715"
"2019-06-10T00:01:02+0000","I would love to try this but no way in hell I'll be making it!!😂","2729925240593441_2386373404718221"
"2019-06-09T21:38:24+0000","it's not pronounced SALAB, it's SAHLAB","2729925240593441_139400037161667"
"2019-06-10T03:12:22+0000","So entertaining to watch her doing this it’s puts smile on my face","2729925240593441_892264231122723"
"2019-06-10T18:05:41+0000","Let's keep making ice cream like that and we will never have to think about the calories afterwards! Problem solved!","2729925240593441_430075581170875"
"2019-06-09T18:12:14+0000","This is so entertaining ❤️","2729925240593441_2378580342468176"
"2019-06-09T18:33:05+0000","OH so glad we have ice cream machines now!!!!😂","2729925240593441_486546938554016"
"2019-06-10T01:06:29+0000","I love how her telling the story","2729925240593441_343546216328419"
"2019-06-12T07:12:56+0000","With her clumsy and funny way learnt and enjoyed booza 😀","2729925240593441_119388409287925"
"2019-06-10T14:25:32+0000","I loved her on her YouTube channel “my drunk kitchen” 😂","2729925240593441_850680355303239"
"2019-06-13T13:25:21+0000","IDK if someone else said it, but they actually had buildings in the middle east that worked as refrigerators for making and storing ice!  I dont see why they'd have to wait or go for snow, thats a little silly.

lots of places around the world had different ice buildings, actually. they just used the way the building was shape and where it was placed for natural cooling :3

I double checked my facts rn on another page and yeah the Persian ones were called yakhchāls. they could also store food there to be cold, and it was from over 1500 years ago. neat stuff.

edit: okay I read a lil more and it says they DID harvest snow and ice from outside to store year-round, but idk why they wouldnt MAKE ice in there too. ¯\_(ツ)_/¯  I just had forgotten some of it I guess.","2729925240593441_688651178271159"
"2019-06-09T18:54:19+0000","That’s how you make Mexican garrafa ice cream “garrafa” means bucket ... same ice , salt , spin .... 💁🏿🇲🇽","2729925240593441_2515021125194818"
"2019-06-09T19:15:14+0000","Great episode. Mastic ice cream beats any other type  ..","2729925240593441_119821235913018"
"2019-06-10T01:07:15+0000","I really enjoy watching her make old recipes.","2729925240593441_111717116597853"
"2019-06-09T18:20:52+0000","love this lady. She's hilarious. I'd like to see a drunk kitchen version of this one","2729925240593441_1166155386887833"
"2019-06-10T19:19:46+0000","The booza is lebanese","2729925240593441_2378553428899068"
"2019-06-09T19:22:11+0000","Please don’t promote the consumption of sahlap - the wild orchids supplying it are close to extinction due to the demand for their roots. That’s why nowadays there is no sahlep in sahlep, only other thickening agents.","2729925240593441_144615249953685"
"2019-06-09T19:11:05+0000","This is the real Afghani Ice Cream
https://youtu.be/x6RUdRZ2NcU","2729925240593441_111974459890227"
"2019-06-09T18:37:12+0000","What is with all the shitty clickbait?  It’s not as if 500 year old ice cream sounds any more interesting than a 500 year old recipe or technique.","2729925240593441_335666017114966"
"2019-06-10T11:30:26+0000","Really really enjoy Hanna. She always makes me smile! Good choice for videos!","2729925240593441_2576372165729694"
"2019-06-15T10:36:37+0000","I really want to try this now! Looks amazing!","2729925240593441_644809866036428"
"2019-06-09T18:25:49+0000","En mi país Ecuador 🇪🇨 es típico este helado se lo come en todos lados","2729925240593441_2332970650279581"
